SH,MDS1,MDS2
AK_Seagrass,-1.0597092918722244,0.4613183665852033
AK_Unvegetated,-0.8646106344904896,0.2512139617765032
Baja_Seagrass,-0.1997695044192083,-0.7388069106636129
Baja_Unvegetated,0.1003516591599386,-0.6762184200649692
BC_Seagrass,-1.014704364628866,0.14917536170425136
BC_Unvegetated,-0.8020931283084397,0.21117983090242956
Brazil_Seagrass,0.14279891886915552,-1.6992588369693242
Brazil_Unvegetated,0.32857079310686776,-1.7160337016310203
CA_Seagrass,-0.6296912733026365,-0.5706605322815609
CA_Unvegetated,-0.5551550060207985,-0.4561848068446948
CA2_Seagrass,-0.41443861196117543,-0.3220395468872472
CA2_Unvegetated,-0.551718506426198,-0.2201074764740734
CA3_Seagrass,-0.7899023380155044,0.74006510352051
CA3_Unvegetated,-0.45616790547517183,-0.28055624307475163
Chile_Seagrass,-0.2302298077285166,-0.01472817073936036
Chile_Unvegetated,-0.18696833987593894,-0.727720963231216
Croatia_Seagrass,0.4443774940520411,0.5920036655350407
Croatia_Unvegetated,0.4323368518341298,0.5854151408154316
DE_Unvegetated,-0.6081471829694848,-1.0741248688007223
FL_Seagrass,0.9826644378564452,0.4674691229906432
FL_Unvegetated,0.9890348752698107,0.6558239840677405
France_Seagrass,0.37189539970317986,0.5879430174835811
France_Unvegetated,0.8149498948703465,0.7738112903740776
Italy_Seagrass,1.0290518214987385,0.40248827300427187
Italy_Unvegetated,0.9413921296289679,0.8262151691592239
Korea_Seagrass,-0.08302081750764764,0.7682900429435151
Korea_Unvegetated,-0.3328827536586043,0.363049985205573
MA_Seagrass,-0.3232918965428907,0.5757929956227511
MA_Unvegetated,-1.0898970808950488,0.578439037312586
NC_Seagrass,0.563463916787491,-0.5018719946370203
NC_Unvegetated,0.5023460587754219,-0.9687961177568755
NC2_Seagrass,0.8942583120386037,0.47749401523119006
Norway_Seagrass,-0.8382494683265617,0.8904116157039897
Norway_Unvegetated,-0.6164473783144164,0.9253967111196083
NSW1_Seagrass,0.9595503627049466,0.2969847156232946
NSW1_Unvegetated,0.4706544517953523,0.20133394792861137
NSW2_Seagrass,0.9249454718728839,0.36786718280239666
NSW2_Unvegetated,0.9141802271824498,0.33791742235179745
OR_Seagrass,-1.1048999388898157,-0.3224026587442147
OR_Unvegetated,-0.7884732324810964,-0.07750983068783218
QC_Seagrass,-0.6354146077318987,0.5346278832907151
QC_Unvegetated,-0.5844791719045984,0.11666825772459818
QLD2_Seagrass,0.37817138501654385,0.14290730620706524
QLD2_Unvegetated,0.628335814289242,0.29219173840848367
QLD3_Seagrass,0.6471474251989783,-0.582420983995886
QLD3_Unvegetated,0.9103930085872483,0.2849183595078283
QLD4_Seagrass,0.6622876484383504,0.4890222062765505
QLD4_Unvegetated,0.2571730507182431,-0.3538176118506313
TX_Seagrass,0.4019780637657137,-0.6365057847904919
TX_Unvegetated,0.38873639050587633,-0.7249192179449492
VA_Seagrass,0.05332044819314238,-1.7358195518226995
VA2_Seagrass,-0.3344446540941271,-1.0470004667635886
VA2_Unvegetated,0.020828469291827054,-1.8369373433864002
VIC_Seagrass,-0.06220201500255951,0.7027209955185171
VIC_Unvegetated,-0.13673879305084355,0.7222294072940364
WA_Seagrass,-0.8868369582224968,-0.09734404869559234
WA_Unvegetated,-0.7005903553742137,0.040998733757518925
WA2_Seagrass,-0.8602455844664488,0.10064457139627375
WA2_Unvegetated,-1.0047775747347514,0.2971156406739185
Wales_Seagrass,-0.45420943492475035,1.0337488962493586
Wales_Unvegetated,-0.619165862260146,0.4798703889734579
Yuca1_Seagrass,1.0148872065575334,-0.12100126054867139
Yuca1_Unvegetated,1.042528247715564,0.06616642756612003
Yuca2_Seagrass,0.9082687298124972,-0.1723589689739786
Yuca2_Unvegetated,0.6986945087800357,-0.11578445434727745
