"AICc","dAICc","df","weight","model"
70.4,0,4,"0.0751","m73"
70.6,0.2,4,"0.0675","m61"
70.8,0.4,4,"0.0607","m71"
71,0.6,3,"0.0551","m68"
71.9,1.5,4,"0.0358","m70"
72.1,1.8,5,"0.0312","m64"
72.2,1.9,5,"0.0296","m13"
72.4,2,4,"0.0277","m75"
72.4,2.1,5,"0.0268","m28"
72.5,2.2,5,"0.0256","m65"
72.5,2.2,5,"0.0254","m63"
72.6,2.2,5,"0.0247","m62"
72.6,2.2,5,"0.0244","m66"
72.6,2.3,5,"0.0242","m16"
72.6,2.3,5,"0.0242","m67"
72.6,2.3,5,"0.0241","m01"
72.7,2.4,4,"0.0229","m72"
72.8,2.4,4,"0.0225","m08"
72.8,2.4,4,"0.0225","m00"
72.8,2.5,5,"0.0220","m11"
72.9,2.5,5,"0.0216","m26"
72.9,2.5,4,"0.0213","m23"
72.9,2.6,4,"0.0207","m69"
73,2.7,4,"0.0198","m74"
73.7,3.3,5,"0.0145","m10"
73.9,3.5,5,"0.0129","m25"
74.1,3.7,5,"0.0117","m15"
74.2,3.8,6,"0.0110","m19"
74.2,3.8,6,"0.0110","m04"
74.2,3.9,5,"0.0109","m30"
74.6,4.2,5,"0.0092","m09"
74.6,4.2,6,"0.0091","m20"
74.6,4.2,6,"0.0091","m05"
74.6,4.2,6,"0.0091","m03"
74.6,4.2,6,"0.0090","m18"
74.6,4.3,6,"0.0089","m17"
74.6,4.3,6,"0.0089","m02"
74.7,4.3,5,"0.0087","m27"
74.7,4.3,5,"0.0087","m12"
74.7,4.3,6,"0.0087","m22"
74.7,4.3,6,"0.0087","m21"
74.7,4.3,6,"0.0087","m06"
74.7,4.3,6,"0.0086","m07"
74.8,4.4,5,"0.0084","m24"
74.8,4.5,5,"0.0080","m14"
74.9,4.6,5,"0.0077","m29"
75.4,5,4,"0.0062","m43"
75.7,5.4,4,"0.0051","m58"
77.5,7.1,4,"0.0022","m46"
78,7.6,4,"0.0017","m86"
78.7,8.4,4,"0.0011","m77"
78.8,8.4,5,"0.0011","m47"
78.9,8.5,4,"0.0010","m31"
79.2,8.8,3,"<0.001","m76"
79.4,9,5,"<0.001","m50"
79.5,9.1,5,"<0.001","m51"
79.5,9.1,5,"<0.001","m48"
79.5,9.1,5,"<0.001","m49"
79.5,9.2,5,"<0.001","m52"
79.9,9.6,5,"<0.001","m35"
80.1,9.7,5,"<0.001","m32"
80.4,10,3,"<0.001","m53"
80.6,10.2,4,"<0.001","m80"
80.6,10.2,4,"<0.001","m85"
80.7,10.3,5,"<0.001","m36"
80.9,10.5,5,"<0.001","m33"
80.9,10.5,4,"<0.001","m81"
80.9,10.5,4,"<0.001","m87"
80.9,10.5,4,"<0.001","m56"
81,10.6,5,"<0.001","m34"
81,10.6,5,"<0.001","m37"
81,10.6,4,"<0.001","m82"
81,10.6,4,"<0.001","m88"
81.2,10.8,4,"<0.001","m79"
81.2,10.8,4,"<0.001","m84"
81.2,10.8,4,"<0.001","m78"
81.2,10.8,4,"<0.001","m83"
81.2,10.8,4,"<0.001","m60"
81.6,11.3,4,"<0.001","m55"
82.1,11.7,4,"<0.001","m54"
82.2,11.8,4,"<0.001","m57"
82.3,12,4,"<0.001","m59"
82.4,12.1,4,"<0.001","m40"
82.6,12.2,3,"<0.001","m38"
82.6,12.2,4,"<0.001","m42"
82.9,12.5,4,"<0.001","m41"
83.5,13.1,4,"<0.001","m45"
84.2,13.8,4,"<0.001","m39"
84.6,14.2,4,"<0.001","m44"
90.6,20.3,2,"<0.001","m0"
