"phylum","family"
"Chordata","Acanthuridae"
"Chordata","Acropomatidae"
"Chordata","Agonidae"
"Chordata","Albulidae"
"Chordata","Ambassidae"
"Chordata","Ammodytidae"
"Mollusca","Aplysiidae"
"Chordata","Ariidae"
"Chordata","Atherinidae"
"Chordata","Atherinopsidae"
"Chordata","Aulorhynchidae"
"Chordata","Aulostomidae"
"Chordata","Balistidae"
"Chordata","Batrachoididae"
"Chordata","Belonidae"
"Chordata","Blenniidae"
"Chordata","Callionymidae"
"Arthropoda","Cancridae"
"Chordata","Carangidae"
"Chordata","Carcharhinidae"
"Arthropoda","Carcinidae"
"Chordata","Chaetodontidae"
"Chordata","Channidae"
"Chordata","Cheilodactylidae"
"Chordata","Clinidae"
"Chordata","Clupeidae"
"Chordata","Cottidae"
"Arthropoda","Crangonidae"
"Chordata","Cyclopteridae"
"Chordata","Cyprinodontidae"
"Chordata","Diodontidae"
"Chordata","Echeneidae"
"Chordata","Eleotridae"
"Chordata","Elopidae"
"Chordata","Embiotocidae"
"Chordata","Engraulidae"
"Arthropoda","Epialtidae"
"Chordata","Fistulariidae"
"Chordata","Fundulidae"
"Chordata","Gadidae"
"Chordata","Gasterosteidae"
"Chordata","Gerreidae"
"Chordata","Gobiesocidae"
"Chordata","Gobiidae"
"Chordata","Haemulidae"
"Chordata","Hemiramphidae"
"Chordata","Hexagrammidae"
"Arthropoda","Hippolytidae"
"Chordata","Kyphosidae"
"Chordata","Labridae"
"Chordata","Lateolabracidae"
"Chordata","Lethrinidae"
"Chordata","Liparidae"
"Mollusca","Loliginidae"
"Chordata","Lutjanidae"
"Arthropoda","Lysmatidae"
"Chordata","Monacanthidae"
"Chordata","Monodactylidae"
"Chordata","Moronidae"
"Chordata","Mugilidae"
"Chordata","Mullidae"
"Chordata","Muraenidae"
"Chordata","Nemipteridae"
"Chordata","Osmeridae"
"Chordata","Ostraciidae"
"Arthropoda","Ovalipidae"
"Arthropoda","Paguridae"
"Arthropoda","Palaemonidae"
"Arthropoda","Panopeidae"
"Chordata","Paralichthyidae"
"Arthropoda","Penaeidae"
"Chordata","Pholidae"
"Chordata","Phycidae"
"Chordata","Platycephalidae"
"Chordata","Pleuronectidae"
"Chordata","Pomacentridae"
"Arthropoda","Portunidae"
"Arthropoda","Processidae"
"Chordata","Pseudomugilidae"
"Chordata","Rhinobatidae"
"Chordata","Salangidae"
"Chordata","Salmonidae"
"Chordata","Sciaenidae"
"Chordata","Scyliorhinidae"
"Chordata","Sebastidae"
"Mollusca","Sepiidae"
"Chordata","Serranidae"
"Chordata","Siganidae"
"Chordata","Sillaginidae"
"Chordata","Soleidae"
"Chordata","Sparidae"
"Chordata","Sphyraenidae"
"Chordata","Stichaeidae"
"Chordata","Syngnathidae"
"Chordata","Synodontidae"
"Chordata","Terapontidae"
"Chordata","Tetraodontidae"
"Chordata","Tetrarogidae"
"Chordata","Trachinidae"
"Chordata","Trichechidae"
"Chordata","Triglidae"
"Chordata","Urotrygonidae"
"Arthropoda","Varunidae"
